Date,Open,High,Low,Close
17.12.2007,1.43989,1.44357,1.43639,1.44109
18.12.2007,1.44107,1.44235,1.43229,1.43817
19.12.2007,1.43819,1.43899,1.43073,1.4328
20.12.2007,1.43284,1.44101,1.43133,1.43772
21.12.2007,1.43772,1.43772,1.43772,1.43772
22.12.2007,1.43772,1.43772,1.43772,1.43772
23.12.2007,1.43738,1.44129,1.43643,1.4392
24.12.2007,1.43913,1.44205,1.43825,1.43974
25.12.2007,1.43972,1.45058,1.43866,1.44856
26.12.2007,1.44863,1.46411,1.44643,1.46245
27.12.2007,1.46225,1.47273,1.45873,1.4721
28.12.2007,1.4721,1.4721,1.4721,1.4721
29.12.2007,1.4721,1.4721,1.4721,1.4721
30.12.2007,1.47133,1.47491,1.45651,1.45882
31.12.2007,1.45887,1.46174,1.45718,1.45903
01.01.2008,1.4591,1.4749,1.45835,1.47106
02.01.2008,1.47106,1.47807,1.46842,1.47489
03.01.2008,1.47482,1.48241,1.4691,1.47397
04.01.2008,1.47397,1.47397,1.47397,1.47397
05.01.2008,1.47397,1.47397,1.47397,1.47397
06.01.2008,1.47452,1.47547,1.46557,1.46928
07.01.2008,1.46925,1.47428,1.46754,1.47039
08.01.2008,1.47049,1.47427,1.46357,1.46558
09.01.2008,1.46571,1.48133,1.46387,1.4802
10.01.2008,1.48011,1.4819,1.47585,1.47717
11.01.2008,1.47717,1.47717,1.47717,1.47717
12.01.2008,1.47717,1.47717,1.47717,1.47717
13.01.2008,1.47797,1.49146,1.47779,1.4864
14.01.2008,1.48665,1.49219,1.47959,1.48015
15.01.2008,1.47995,1.48583,1.45923,1.46497
16.01.2008,1.46501,1.47141,1.45863,1.46383
17.01.2008,1.46385,1.46941,1.45982,1.46168
18.01.2008,1.46168,1.46168,1.46168,1.46168
19.01.2008,1.46168,1.46168,1.46168,1.46168
20.01.2008,1.46029,1.46042,1.442,1.44525
21.01.2008,1.44547,1.46417,1.43621,1.46274
22.01.2008,1.46273,1.4684,1.45072,1.46285
23.01.2008,1.46279,1.47779,1.45874,1.47525
24.01.2008,1.47527,1.47757,1.46567,1.46807
25.01.2008,1.46807,1.46807,1.46807,1.46807
26.01.2008,1.46807,1.46807,1.46807,1.46807
27.01.2008,1.46779,1.47977,1.46588,1.47781
28.01.2008,1.47795,1.47968,1.47346,1.47744
29.01.2008,1.47732,1.49073,1.47508,1.48584
30.01.2008,1.48593,1.49137,1.47994,1.48573
31.01.2008,1.48576,1.49468,1.47839,1.47995
01.02.2008,1.47995,1.47995,1.47995,1.47995
02.02.2008,1.47995,1.47995,1.47995,1.47995
03.02.2008,1.48036,1.48482,1.47889,1.48272
04.02.2008,1.48267,1.48349,1.46185,1.46448
05.02.2008,1.46479,1.46699,1.45877,1.46286
06.02.2008,1.46294,1.46513,1.44366,1.44817
07.02.2008,1.44823,1.45475,1.44467,1.4503
08.02.2008,1.4503,1.4503,1.4503,1.4503
09.02.2008,1.4503,1.4503,1.4503,1.4503
10.02.2008,1.45127,1.45786,1.44788,1.45165
11.02.2008,1.45162,1.46141,1.44923,1.4582
12.02.2008,1.45829,1.45988,1.45307,1.45707
13.02.2008,1.4572,1.46475,1.45457,1.46407
14.02.2008,1.46411,1.47084,1.46266,1.46802
15.02.2008,1.46802,1.46802,1.46802,1.46802
16.02.2008,1.46802,1.46802,1.46802,1.46802
17.02.2008,1.4679,1.46901,1.46081,1.46557
18.02.2008,1.46558,1.4756,1.46374,1.47228
19.02.2008,1.47235,1.4733,1.46123,1.47128
20.02.2008,1.47133,1.48366,1.46986,1.48111
21.02.2008,1.48118,1.48614,1.47847,1.48235
22.02.2008,1.48235,1.48235,1.48235,1.48235
23.02.2008,1.48235,1.48235,1.48235,1.48235
24.02.2008,1.48363,1.4844,1.47909,1.48265
25.02.2008,1.48256,1.49849,1.47754,1.49715
26.02.2008,1.49702,1.51435,1.49676,1.51178
27.02.2008,1.51175,1.52301,1.50706,1.51911
28.02.2008,1.51926,1.52383,1.51417,1.51762
29.02.2008,1.51762,1.51762,1.51762,1.51762
01.03.2008,1.51762,1.51762,1.51762,1.51762
02.03.2008,1.51928,1.52734,1.51554,1.52024
03.03.2008,1.51984,1.52467,1.51706,1.52139
04.03.2008,1.52145,1.53015,1.51425,1.52634
05.03.2008,1.52619,1.53934,1.5257,1.53783
06.03.2008,1.53796,1.54591,1.53138,1.5354
07.03.2008,1.5354,1.5354,1.5354,1.5354
08.03.2008,1.5354,1.5354,1.5354,1.5354
09.03.2008,1.53607,1.5403,1.53116,1.53416
10.03.2008,1.53402,1.54948,1.52812,1.53361
11.03.2008,1.53367,1.55699,1.5328,1.55483
12.03.2008,1.55467,1.56433,1.55181,1.56333
13.03.2008,1.56335,1.56869,1.55294,1.56714
14.03.2008,1.56714,1.56714,1.56714,1.56714
15.03.2008,1.56714,1.56714,1.56714,1.56714
16.03.2008,1.56745,1.59021,1.56709,1.57283
17.03.2008,1.57269,1.58311,1.56151,1.56227
18.03.2008,1.56228,1.57852,1.55808,1.56234
19.03.2008,1.56238,1.56497,1.53926,1.54261
20.03.2008,1.54255,1.54739,1.54014,1.54269
21.03.2008,1.54269,1.54269,1.54269,1.54269
22.03.2008,1.54269,1.54269,1.54269,1.54269
23.03.2008,1.54349,1.54543,1.53381,1.54206
24.03.2008,1.54203,1.56579,1.54038,1.56476
25.03.2008,1.56467,1.58582,1.55795,1.5843
26.03.2008,1.58437,1.58477,1.57237,1.57775
27.03.2008,1.57772,1.58387,1.57392,1.57918
28.03.2008,1.57918,1.57918,1.57918,1.57918
29.03.2008,1.57918,1.57918,1.57918,1.57918
30.03.2008,1.57956,1.58974,1.5767,1.57868
31.03.2008,1.57864,1.57881,1.55612,1.56139
01.04.2008,1.56117,1.57007,1.5531,1.56825
02.04.2008,1.5683,1.56968,1.55073,1.56821
03.04.2008,1.56842,1.57726,1.56345,1.57352
04.04.2008,1.57352,1.57352,1.57352,1.57352
05.04.2008,1.57352,1.57352,1.57352,1.57352
06.04.2008,1.57302,1.57375,1.56247,1.57095
07.04.2008,1.57087,1.57983,1.56718,1.5711
08.04.2008,1.571,1.58645,1.568,1.58301
09.04.2008,1.58298,1.59143,1.57221,1.57405
10.04.2008,1.57433,1.58564,1.57339,1.58091
11.04.2008,1.58091,1.58091,1.58091,1.58091
12.04.2008,1.58091,1.58091,1.58091,1.58091
13.04.2008,1.57834,1.58867,1.56684,1.58303
14.04.2008,1.58278,1.58754,1.57486,1.57876
15.04.2008,1.57858,1.59786,1.57573,1.5945
16.04.2008,1.5944,1.59826,1.58446,1.59041
17.04.2008,1.59057,1.59566,1.57092,1.5812
18.04.2008,1.5812,1.5812,1.5812,1.5812
19.04.2008,1.5812,1.5812,1.5812,1.5812
20.04.2008,1.58086,1.59466,1.5789,1.59086
21.04.2008,1.59093,1.60183,1.58307,1.59888
22.04.2008,1.5992,1.60027,1.58583,1.58867
23.04.2008,1.5888,1.58961,1.56331,1.568
24.04.2008,1.56806,1.57063,1.55506,1.56276
25.04.2008,1.56276,1.56276,1.56276,1.56276
26.04.2008,1.56276,1.56276,1.56276,1.56276
27.04.2008,1.56242,1.56924,1.55892,1.56547
28.04.2008,1.56571,1.5663,1.55384,1.5569
29.04.2008,1.55693,1.56415,1.55161,1.56173
30.04.2008,1.562,1.56425,1.54273,1.5471
01.05.2008,1.54714,1.54978,1.53599,1.54218
02.05.2008,1.54218,1.54218,1.54218,1.54218
03.05.2008,1.54218,1.54218,1.54218,1.54218
04.05.2008,1.5427,1.55196,1.54204,1.54947
05.05.2008,1.54945,1.55945,1.54495,1.55303
06.05.2008,1.55336,1.55395,1.53634,1.53915
07.05.2008,1.53899,1.54407,1.52825,1.53915
08.05.2008,1.53953,1.54886,1.53889,1.54811
09.05.2008,1.54811,1.54811,1.54811,1.54811
10.05.2008,1.54811,1.54811,1.54811,1.54811
11.05.2008,1.54831,1.55699,1.53627,1.55508
12.05.2008,1.55501,1.55653,1.54275,1.54701
13.05.2008,1.54734,1.5486,1.53925,1.54716
14.05.2008,1.54714,1.5547,1.54173,1.54448
15.05.2008,1.54455,1.56019,1.54321,1.55748
16.05.2008,1.55748,1.55748,1.55748,1.55748
17.05.2008,1.55748,1.55748,1.55748,1.55748
18.05.2008,1.55779,1.56333,1.54811,1.55078
19.05.2008,1.55078,1.56796,1.55035,1.56438
20.05.2008,1.56468,1.57957,1.56287,1.57928
21.05.2008,1.57927,1.5813,1.56893,1.57311
22.05.2008,1.57302,1.57939,1.56947,1.57578
23.05.2008,1.57578,1.57578,1.57578,1.57578
24.05.2008,1.57578,1.57578,1.57578,1.57578
25.05.2008,1.57652,1.5791,1.57391,1.57677
26.05.2008,1.57706,1.58178,1.56792,1.56905
27.05.2008,1.56893,1.576,1.56056,1.56365
28.05.2008,1.56369,1.56625,1.548,1.55161
29.05.2008,1.55179,1.55682,1.54594,1.55499
30.05.2008,1.55499,1.55499,1.55499,1.55499
31.05.2008,1.55499,1.55504,1.55499,1.55504
01.06.2008,1.55512,1.55881,1.54845,1.55346
02.06.2008,1.55358,1.56275,1.54085,1.54428
03.06.2008,1.5446,1.54825,1.54157,1.54378
04.06.2008,1.54383,1.55997,1.53633,1.55923
05.06.2008,1.55898,1.5778,1.55691,1.57748
06.06.2008,1.57748,1.57748,1.57748,1.57748
07.06.2008,1.57748,1.57748,1.57748,1.57748
08.06.2008,1.57831,1.58432,1.5616,1.5644
09.06.2008,1.56432,1.56543,1.54371,1.5465
10.06.2008,1.54659,1.55868,1.54463,1.55492
11.06.2008,1.55503,1.5568,1.53764,1.54368
12.06.2008,1.54356,1.54817,1.53004,1.5377
13.06.2008,1.5377,1.5377,1.5377,1.5377
14.06.2008,1.5377,1.5377,1.5377,1.5377
15.06.2008,1.53826,1.55188,1.53433,1.54761
16.06.2008,1.54742,1.55514,1.54558,1.55082
17.06.2008,1.5505,1.55394,1.54598,1.55323
18.06.2008,1.55333,1.55863,1.54631,1.55031
19.06.2008,1.55025,1.5651,1.54878,1.56028
20.06.2008,1.56028,1.56028,1.56028,1.56028
21.06.2008,1.56028,1.56028,1.56028,1.56028
22.06.2008,1.56153,1.56357,1.54661,1.55158
23.06.2008,1.55143,1.56216,1.54876,1.5565
24.06.2008,1.55647,1.56872,1.55335,1.56622
25.06.2008,1.56624,1.57672,1.56249,1.57556
26.06.2008,1.57543,1.57924,1.57154,1.57906
27.06.2008,1.57906,1.57906,1.57906,1.57906
28.06.2008,1.57906,1.57906,1.57906,1.57906
29.06.2008,1.57789,1.58359,1.57271,1.57528
30.06.2008,1.57529,1.58249,1.5721,1.57897
01.07.2008,1.57894,1.58879,1.57736,1.58808
02.07.2008,1.58796,1.59117,1.56787,1.57003
03.07.2008,1.57007,1.57262,1.56524,1.57029
04.07.2008,1.57029,1.57029,1.57029,1.57029
05.07.2008,1.57029,1.57029,1.57029,1.57029
06.07.2008,1.57002,1.57533,1.56072,1.57248
07.07.2008,1.57248,1.57392,1.56333,1.56693
08.07.2008,1.56669,1.57494,1.56472,1.57413
09.07.2008,1.57416,1.58022,1.56876,1.5787
10.07.2008,1.57841,1.59472,1.57604,1.59368
11.07.2008,1.59368,1.59368,1.59368,1.59368
12.07.2008,1.59368,1.59368,1.59368,1.59368
13.07.2008,1.59498,1.59709,1.58392,1.59048
14.07.2008,1.59043,1.60389,1.58643,1.59104
15.07.2008,1.59085,1.59477,1.57985,1.58264
